TBK_t1,TBK_t2,TBK_t3
6.88,7.03,6.836666666666666
8.76,8.8,7.88
8.8,7.88,7.99
7.88,7.99,8.25
7.99,8.25,9.04
8.25,9.04,8.453333333333335
7.56,7.57,7.96
7.57,7.96,7.37
7.96,7.37,7.8
7.37,7.8,8.04
7.8,8.04,7.716666666666666
5.56,6.63,4.68
6.63,4.68,5.79
4.68,5.79,3.78
5.79,3.78,6.52
3.78,6.52,5.493333333333332
7.08,7.73,6.45
7.73,6.45,6.69
6.45,6.69,7.59
6.69,7.59,8.18
7.59,8.18,7.286666666666666
6.96,6.63,6.11
6.63,6.11,6.01
6.11,6.01,4.81
6.01,4.81,6.11
4.81,6.11,6.105
8.04,7.5,8.01
7.5,8.01,7.77
8.01,7.77,7.7
7.77,7.7,7.33
7.7,7.33,7.725
7.94,8.17,7.62
8.17,7.62,6.91
7.62,6.91,7.89
6.91,7.89,8.33
7.89,8.33,7.81
5.51,0.0,4.99
0.0,4.99,4.04
4.99,4.04,1.94
4.04,1.94,4.82
1.94,4.82,3.5500000000000003
8.25,7.4,8.49
7.4,8.49,8.24
8.49,8.24,8.5
8.24,8.5,8.71
8.5,8.71,8.265
6.99,8.27,7.48
8.27,7.48,7.01
7.48,7.01,6.42
7.01,6.42,7.7
6.42,7.7,7.311666666666667
8.74,9.23,8.95
9.23,8.95,9.08
8.95,9.08,9.1
9.08,9.1,9.1
9.1,9.1,9.033333333333331
6.66,6.47,6.59
6.47,6.59,6.77
6.59,6.77,7.65
6.77,7.65,7.85
7.65,7.85,6.998333333333332
5.8,6.1,5.31
6.1,5.31,3.87
5.31,3.87,3.14
3.87,3.14,4.31
3.14,4.31,4.755
5.68,5.0,3.26
5.0,3.26,3.79
3.26,3.79,3.9
3.79,3.9,6.31
3.9,6.31,4.656666666666666
6.79,7.43,5.16
7.43,5.16,5.89
5.16,5.89,6.6
5.89,6.6,6.83
6.6,6.83,6.45
6.52,5.3,5.74
5.3,5.74,4.56
5.74,4.56,6.08
4.56,6.08,6.08
6.08,6.08,5.713333333333334
4.57,4.73,5.34
4.73,5.34,5.11
5.34,5.11,4.49
5.11,4.49,4.34
4.49,4.34,4.763333333333333
